time_sec,bus_id,stop_idx,onboard,headway_min
21840.000000,1,12,2365,0.600000
21840.000000,2,12,2367,0.600000
21840.000000,3,12,2364,0.566667
21840.000000,4,12,2363,0.600000
21900.000000,0,12,2367,1.566667
21900.000000,1,12,2365,1.600000
21900.000000,2,12,2367,1.600000
21900.000000,3,12,2364,1.566667
21900.000000,4,12,2363,1.600000
21960.000000,0,12,2367,2.566667
21960.000000,1,12,2365,2.600000
21960.000000,2,12,2367,2.600000
21960.000000,3,12,2364,2.566667
21960.000000,4,12,2363,2.600000
22020.000000,0,12,2367,3.566667
22020.000000,1,12,2365,3.600000
22020.000000,2,12,2367,3.600000
22020.000000,3,12,2364,3.566667
22020.000000,4,12,2363,3.600000
22080.000000,0,12,2367,4.566667
22080.000000,1,12,2365,4.600000
22080.000000,2,12,2367,4.600000
22080.000000,3,12,2364,4.566667
22080.000000,4,12,2363,4.600000
22140.000000,0,13,2386,5.566667
22140.000000,1,13,2384,5.600000
22140.000000,2,13,2385,5.600000
22140.000000,3,13,2383,5.566667
22140.000000,4,13,2381,5.600000
22200.000000,0,13,2410,0.166667
22200.000000,1,13,2409,0.166667
22200.000000,2,13,2410,0.133333
22200.000000,3,13,2407,0.166667
22200.000000,4,13,2405,0.166667
22260.000000,0,13,2410,1.166667
22260.000000,1,13,2409,1.166667
22260.000000,2,13,2410,1.133333
22260.000000,3,13,2407,1.166667
22260.000000,4,13,2405,1.166667
22320.000000,0,13,2410,2.166667
22320.000000,1,13,2409,2.166667
22320.000000,2,13,2410,2.133333
22320.000000,3,13,2407,2.166667
22320.000000,4,13,2405,2.166667
22380.000000,0,13,2410,3.166667
22380.000000,1,13,2409,3.166667
22380.000000,2,13,2410,3.133333
22380.000000,3,13,2407,3.166667
22380.000000,4,13,2405,3.166667
22440.000000,0,13,2410,4.166667
22440.000000,1,13,2409,4.166667
22440.000000,2,13,2410,4.133333
22440.000000,3,13,2407,4.166667
22440.000000,4,13,2405,4.166667
22500.000000,0,14,2415,5.166667
22500.000000,1,14,2413,5.166667
22500.000000,2,14,2415,5.133333
22500.000000,3,14,2412,5.166667
22500.000000,4,14,2410,5.166667
22560.000000,0,14,2445,6.166667
22560.000000,1,14,2443,6.166667
22560.000000,2,14,2446,6.133333
22560.000000,3,14,2442,6.166667
22560.000000,4,14,2440,6.166667
22620.000000,0,14,2459,0.533333
22620.000000,1,14,2457,0.533333
22620.000000,2,14,2460,0.533333
22620.000000,3,14,2456,0.533333
22620.000000,4,14,2454,0.533333
22680.000000,0,14,2459,1.533333
22680.000000,1,14,2457,1.533333
22680.000000,2,14,2460,1.533333
22680.000000,3,14,2456,1.533333
22680.000000,4,14,2454,1.533333
22740.000000,0,14,2459,2.533333
22740.000000,1,14,2457,2.533333
22740.000000,2,14,2460,2.533333
22740.000000,3,14,2456,2.533333
22740.000000,4,14,2454,2.533333
22800.000000,0,14,2459,3.533333
22800.000000,1,14,2457,3.533333
22800.000000,2,14,2460,3.533333
22800.000000,3,14,2456,3.533333
22800.000000,4,14,2454,3.533333
22860.000000,0,14,2459,4.533333
22860.000000,1,14,2457,4.533333
22860.000000,2,14,2460,4.533333
22860.000000,3,14,2456,4.533333
22860.000000,4,14,2454,4.533333
22920.000000,0,0,2475,5.533333
22920.000000,1,0,2473,5.533333
22920.000000,2,0,2476,5.533333
22920.000000,3,0,2472,5.533333
22920.000000,4,0,2470,5.533333
22980.000000,0,0,2504,0.033333
22980.000000,1,0,2502,0.033333
22980.000000,2,0,2504,0.066667
22980.000000,3,0,2501,0.066667
22980.000000,4,0,2499,0.033333
23040.000000,0,0,2504,1.033333
23040.000000,1,0,2502,1.033333
23040.000000,2,0,2504,1.066667
23040.000000,3,0,2501,1.066667
23040.000000,4,0,2499,1.033333
23100.000000,0,0,2504,2.033333
23100.000000,1,0,2502,2.033333
23100.000000,2,0,2504,2.066667
23100.000000,3,0,2501,2.066667
23100.000000,4,0,2499,2.033333
23160.000000,0,0,2504,3.033333
23160.000000,1,0,2502,3.033333
23160.000000,2,0,2504,3.066667
23160.000000,3,0,2501,3.066667
23160.000000,4,0,2499,3.033333
23220.000000,0,0,2504,4.033333
23220.000000,1,0,2502,4.033333
23220.000000,2,0,2504,4.066667
23220.000000,3,0,2501,4.066667
23220.000000,4,0,2499,4.033333
23280.000000,0,1,2505,5.033333
23280.000000,1,1,2504,5.033333
23280.000000,2,1,2506,5.066667
23280.000000,3,1,2502,5.066667
23280.000000,4,1,2500,5.033333
23340.000000,0,1,2535,6.033333
23340.000000,1,1,2534,6.033333
23340.000000,2,1,2536,6.066667
23340.000000,3,1,2532,6.066667
23340.000000,4,1,2530,6.033333
23400.000000,0,1,2549,0.533333
23400.000000,1,1,2549,0.533333
23400.000000,2,1,2551,0.500000
23400.000000,3,1,2546,0.500000
23400.000000,4,1,2545,0.533333
23460.000000,0,1,2549,1.533333
23460.000000,1,1,2549,1.533333
23460.000000,2,1,2551,1.500000
23460.000000,3,1,2546,1.500000
23460.000000,4,1,2545,1.533333
23520.000000,0,1,2549,2.533333
23520.000000,1,1,2549,2.533333
23520.000000,2,1,2551,2.500000
23520.000000,3,1,2546,2.500000
23520.000000,4,1,2545,2.533333
23580.000000,0,1,2549,3.533333
23580.000000,1,1,2549,3.533333
23580.000000,2,1,2551,3.500000
23580.000000,3,1,2546,3.500000
23580.000000,4,1,2545,3.533333
23640.000000,0,1,2549,4.533333
23640.000000,1,1,2549,4.533333
23640.000000,2,1,2551,4.500000
23640.000000,3,1,2546,4.500000
23640.000000,4,1,2545,4.533333
23700.000000,0,2,2565,5.533333
23700.000000,1,2,2564,5.533333
23700.000000,2,2,2566,5.500000
23700.000000,3,2,2562,5.500000
23700.000000,4,2,2561,5.533333
23760.000000,0,2,2595,6.533333
23760.000000,1,2,2594,6.533333
23760.000000,2,2,2596,6.500000
23760.000000,3,2,2592,6.500000
23760.000000,4,2,2591,6.533333
23820.000000,0,2,2595,0.966667
23820.000000,1,2,2594,1.000000
23820.000000,2,2,2597,1.000000
23820.000000,3,2,2592,1.000000
23820.000000,4,2,2592,1.000000
23880.000000,0,2,2595,1.966667
23880.000000,1,2,2594,2.000000
23880.000000,2,2,2597,2.000000
23880.000000,3,2,2592,2.000000
23880.000000,4,2,2592,2.000000
23940.000000,0,2,2595,2.966667
23940.000000,1,2,2594,3.000000
23940.000000,2,2,2597,3.000000
23940.000000,3,2,2592,3.000000
23940.000000,4,2,2592,3.000000
24000.000000,0,2,2595,3.966667
24000.000000,1,2,2594,4.000000
24000.000000,2,2,2597,4.000000
24000.000000,3,2,2592,4.000000
24000.000000,4,2,2592,4.000000
24060.000000,0,3,2596,4.966667
24060.000000,1,3,2595,5.000000
24060.000000,2,3,2598,5.000000
24060.000000,3,3,2593,5.000000
24060.000000,4,2,2592,5.000000
24120.000000,0,3,2626,5.966667
24120.000000,1,3,2625,6.000000
24120.000000,2,3,2628,6.000000
24120.000000,3,3,2623,6.000000
24120.000000,4,3,2622,6.000000
24180.000000,0,3,2645,0.333333
24180.000000,1,3,2644,0.333333
24180.000000,2,3,2647,0.333333
24180.000000,3,3,2642,0.333333
24180.000000,4,3,2641,0.366667
24240.000000,0,3,2645,1.333333
24240.000000,1,3,2644,1.333333
24240.000000,2,3,2647,1.333333
24240.000000,3,3,2642,1.333333
24240.000000,4,3,2641,1.366667
24300.000000,0,3,2645,2.333333
24300.000000,1,3,2644,2.333333
24300.000000,2,3,2647,2.333333
24300.000000,3,3,2642,2.333333
24300.000000,4,3,2641,2.366667
24360.000000,0,3,2645,3.333333
24360.000000,1,3,2644,3.333333
24360.000000,2,3,2647,3.333333
24360.000000,3,3,2642,3.333333
24360.000000,4,3,2641,3.366667
24420.000000,0,3,2645,4.333333
24420.000000,1,3,2644,4.333333
24420.000000,2,3,2647,4.333333
24420.000000,3,3,2642,4.333333
24420.000000,4,3,2641,4.366667
24480.000000,0,4,2655,5.333333
24480.000000,1,4,2655,5.333333
24480.000000,2,4,2657,5.333333
24480.000000,3,4,2653,5.333333
24480.000000,4,4,2651,5.366667
24540.000000,0,4,2686,6.333333
24540.000000,1,4,2685,6.333333
24540.000000,2,4,2688,6.333333
24540.000000,3,4,2684,6.333333
24540.000000,4,4,2682,6.366667
24600.000000,0,4,2696,0.666667
24600.000000,1,4,2694,0.666667
24600.000000,2,4,2698,0.666667
24600.000000,3,4,2693,0.633333
24600.000000,4,4,2691,0.666667
24660.000000,0,4,2696,1.666667
24660.000000,1,4,2694,1.666667
24660.000000,2,4,2698,1.666667
24660.000000,3,4,2693,1.633333
24660.000000,4,4,2691,1.666667
24720.000000,0,4,2696,2.666667
24720.000000,1,4,2694,2.666667
24720.000000,2,4,2698,2.666667
24720.000000,3,4,2693,2.633333
24720.000000,4,4,2691,2.666667
24780.000000,0,4,2696,3.666667
24780.000000,1,4,2694,3.666667
24780.000000,2,4,2698,3.666667
24780.000000,3,4,2693,3.633333
24780.000000,4,4,2691,3.666667
24840.000000,0,4,2696,4.666667
24840.000000,1,4,2694,4.666667
24840.000000,2,4,2698,4.666667
24840.000000,3,4,2693,4.633333
24840.000000,4,4,2691,4.666667
24900.000000,0,5,2717,5.666667
24900.000000,1,5,2715,5.666667
24900.000000,2,5,2718,5.666667
24900.000000,3,5,2714,5.633333
24900.000000,4,5,2712,5.666667
24960.000000,0,5,2746,0.033333
24960.000000,1,5,2744,6.666667
24960.000000,2,5,2747,6.666667
